value_loss,time_elapsed,policy_entropy,n_updates,clipfrac,total_timesteps,fps,approxkl,serial_timesteps,policy_loss,explained_variance
0.0058405823,46.220513105392456,0.6931363,187,0.0,23936,573,9.304375e-08,23936,-2.2571068e-05,0.8870006054639816
0.0055584223,46.4447500705719,0.6931395,188,0.0,24064,569,1.2864342e-07,24064,-4.443829e-05,0.8945263773202896
0.0066446653,46.67052602767944,0.6931411,189,0.0,24192,566,1.8558307e-08,24192,6.147893e-06,0.8837381079792976
0.006298692,46.8975031375885,0.69314164,190,0.0,24320,563,1.1490433e-08,24320,-6.4151827e-06,0.8896996974945068
0.0059653516,47.12540006637573,0.693142,191,0.0,24448,571,5.2770686e-09,24448,1.1938391e-06,0.8919744938611984
0.0065151663,47.350189208984375,0.69314307,192,0.0,24576,573,2.2098359e-08,24576,-3.2664975e-06,0.8869514763355255
0.006184938,47.57448124885559,0.6931433,193,0.0,24704,542,8.15216e-09,24704,-1.9831816e-05,0.8846433982253075
0.0062200986,47.811501026153564,0.6931423,194,0.0,24832,572,1.4750922e-08,24832,5.8212318e-06,0.8904528990387917
0.006220691,48.03596901893616,0.6931419,195,0.0,24960,570,7.2863564e-09,24960,2.4266774e-06,0.8949890211224556
0.0062362184,48.261104106903076,0.6931423,196,0.0,25088,574,9.664747e-08,25088,-4.39235e-05,0.8843860402703285
0.0056964774,48.48493409156799,0.6931443,197,0.0,25216,570,1.2371775e-07,25216,-5.9052836e-06,0.8959585353732109
0.006251741,48.71004915237427,0.69314426,198,0.0,25344,573,2.8407396e-08,25344,-1.3897894e-05,0.892864316701889
0.005992812,48.93411827087402,0.69314486,199,0.0,25472,572,4.478474e-08,25472,-1.8529128e-05,0.8876255303621292
0.0059335334,49.158941984176636,0.6931446,200,0.0,25600,575,1.42989185e-08,25600,-1.2360513e-05,0.8953121975064278
0.0055784597,49.382341146469116,0.69314426,201,0.0,25728,574,9.005071e-09,25728,1.3864716e-05,0.9003024995326996
0.0055443435,49.606062173843384,0.69314414,202,0.0,25856,571,7.233298e-09,25856,-5.1467214e-07,0.9024596586823463
0.0055498956,49.830968141555786,0.6931444,203,0.0,25984,558,1.6851072e-08,25984,-2.084719e-05,0.8932197764515877
0.0063057207,50.06118607521057,0.69314337,204,0.0,26112,571,3.1732508e-08,26112,6.821472e-06,0.8921718075871468
0.005644869,50.28589916229248,0.6931432,205,0.0,26240,571,8.92312e-08,26240,-3.210455e-05,0.8993320316076279
0.0050900844,50.51075196266174,0.6931427,206,0.0,26368,570,4.8572193e-08,26368,-1.1973316e-06,0.8855936229228973
0.005859866,50.73586106300354,0.69314283,207,0.0,26496,575,4.4977533e-09,26496,-2.0564767e-06,0.8967608660459518
0.003868069,50.95932698249817,0.69314146,208,0.0,26624,568,6.791291e-08,26624,-5.079247e-05,0.9238012805581093
0.006713165,51.185378074645996,0.69314307,209,0.0,26752,574,2.2132683e-08,26752,1.165038e-05,0.8442673236131668
0.0060521862,51.40892004966736,0.6931421,210,0.0,26880,573,1.1625773e-09,26880,-9.036157e-07,0.8864527717232704
0.0057436908,51.63298726081848,0.69314283,211,0.0,27008,569,5.0063704e-09,27008,-9.075971e-06,0.8845183774828911
0.0054057543,51.858664989471436,0.6931431,212,0.0,27136,573,3.7932878e-08,27136,-2.2360706e-05,0.8978267386555672
0.0046636974,52.08268904685974,0.6931429,213,0.0,27264,570,9.852779e-08,27264,-3.2941345e-05,0.9090050831437111
0.004689652,52.30812215805054,0.6931419,214,0.0,27392,574,2.8145504e-08,27392,4.700618e-06,0.9170469343662262
0.004604619,52.53165411949158,0.6931422,215,0.0,27520,568,1.4013969e-08,27520,-2.439483e-06,0.9128190651535988
0.0045242542,52.757587909698486,0.6931412,216,0.0,27648,575,1.3196844e-08,27648,-9.720563e-06,0.9196877479553223
0.0047332994,52.98102927207947,0.6931399,217,0.0,27776,569,1.06516296e-07,27776,-4.0089886e-05,0.9113393351435661
0.0042353747,53.20674419403076,0.6931367,218,0.0,27904,566,7.2298484e-08,27904,-3.016321e-07,0.9271324053406715
0.0050132507,53.433939933776855,0.6931357,219,0.0,28032,568,2.212661e-08,28032,-1.5631318e-05,0.9147942587733269
0.004112354,53.65992021560669,0.6931354,220,0.0,28160,572,1.6429832e-08,28160,-6.8865484e-06,0.9278950989246368
0.004313212,53.88432216644287,0.69313747,221,0.0,28288,567,1.6177285e-07,28288,-5.337922e-05,0.9258882477879524
0.00447593,54.11065912246704,0.69314116,222,0.0,28416,572,6.7631966e-08,28416,3.6706915e-06,0.913522757589817
0.0038011093,54.33558511734009,0.6931413,223,0.0,28544,574,5.5794708e-08,28544,-6.875396e-05,0.9297518357634544
0.0038983102,54.55928015708923,0.6931411,224,0.0,28672,569,4.650864e-08,28672,-9.7246375e-06,0.9305096492171288
