policy_loss,explained_variance,fps,total_timesteps,n_updates,policy_entropy,time_elapsed,approxkl,value_loss,clipfrac,serial_timesteps
-2.0006904e-05,0.5551561415195465,569,17536,137,0.6927228,32.600852966308594,1.147103e-07,0.026112773,0.0,17536
-5.1688403e-06,0.5989741683006287,554,17664,138,0.6926329,32.82661414146423,3.3326293e-09,0.017358784,0.0,17664
-9.761541e-06,0.5626916587352753,574,17792,139,0.69261575,33.05824589729309,1.2374889e-08,0.010454977,0.0,17792
-8.564326e-06,0.5300615131855011,556,17920,140,0.6926184,33.28192377090454,7.484536e-08,0.019144367,0.0,17920
7.337658e-07,0.5678005516529083,573,18048,141,0.69266576,33.512749910354614,2.1572575e-09,0.02327592,0.0,18048
-1.8504448e-05,0.5175904035568237,561,18176,142,0.6926511,33.73691177368164,6.306862e-08,0.020724382,0.0,18176
-0.0001098488,0.5768097043037415,538,18304,143,0.6926417,33.96580410003662,2.4111466e-07,0.015291104,0.0,18304
1.175073e-05,0.5686683356761932,571,18432,144,0.69271123,34.20446491241455,1.05996136e-07,0.022669554,0.0,18432
-2.2015185e-05,0.590572714805603,556,18560,145,0.69279444,34.429529905319214,4.1140062e-08,0.025618458,0.0,18560
-2.0867446e-05,0.5717104375362396,572,18688,146,0.6927548,34.660454988479614,7.2667376e-08,0.02249033,0.0,18688
-5.5728015e-07,0.5835525691509247,556,18816,147,0.6927426,34.8852858543396,4.232951e-08,0.022723567,0.0,18816
-7.629598e-05,0.6341003477573395,573,18944,148,0.69279706,35.11641597747803,1.5646394e-07,0.013218981,0.0,18944
-7.012335e-05,0.7185138463973999,560,19072,149,0.6927372,35.34074878692627,8.6896975e-08,0.008733131,0.0,19072
2.0971056e-06,0.6188755929470062,565,19200,150,0.6927668,35.56997895240784,2.5656587e-07,0.015060434,0.0,19200
-1.8527266e-05,0.6137727797031403,559,19328,151,0.6928134,35.7975640296936,7.0152566e-08,0.023450507,0.0,19328
-9.528594e-06,0.5995562672615051,573,19456,152,0.6926713,36.02714395523071,6.161052e-08,0.016171586,0.0,19456
2.5589252e-06,0.5825354754924774,559,19584,153,0.69272363,36.25115084648132,2.0833337e-09,0.019962916,0.0,19584
-1.126132e-05,0.6143345832824707,573,19712,154,0.6927349,36.48081994056702,2.19381e-08,0.013540825,0.0,19712
-3.34325e-05,0.6595345735549927,571,19840,155,0.69270396,36.70485782623291,7.379319e-08,0.010131289,0.0,19840
-3.5518315e-06,0.6395186483860016,552,19968,156,0.6927067,36.929884910583496,1.5992704e-08,0.01753448,0.0,19968
-1.12165e-05,0.6156948804855347,571,20096,157,0.69271344,37.16227102279663,5.1130518e-09,0.016996501,0.0,20096
-1.5627826e-05,0.619015246629715,554,20224,158,0.69264954,37.38709592819214,2.1646633e-08,0.016821036,0.0,20224
-9.3017006e-05,0.6082575917243958,552,20352,159,0.6926998,37.618849754333496,2.1776921e-07,0.015587386,0.0,20352
1.8455088e-05,0.6239917874336243,558,20480,160,0.69276893,37.851611852645874,9.235175e-08,0.017251816,0.0,20480
1.5934929e-06,0.6041916608810425,575,20608,161,0.6927386,38.08153295516968,1.1475264e-09,0.01997943,0.0,20608
-2.4459907e-05,0.670743465423584,556,20736,162,0.6927595,38.30488991737366,2.5988554e-08,0.022129979,0.0,20736
9.577721e-06,0.644721120595932,572,20864,163,0.6927689,38.535892963409424,8.319788e-09,0.016578574,0.0,20864
-7.22009e-05,0.6965450048446655,557,20992,164,0.6926549,38.7605299949646,1.3810961e-07,0.009956047,0.0,20992
1.4144927e-05,0.6357693076133728,567,21120,165,0.692691,38.991254806518555,1.4094105e-07,0.016478214,0.0,21120
-7.9388265e-06,0.6617394983768463,573,21248,166,0.69268084,39.2175669670105,1.2353703e-08,0.015003618,0.0,21248
