approxkl,value_loss,clipfrac,explained_variance,n_updates,time_elapsed,policy_loss,fps,serial_timesteps,policy_entropy,total_timesteps
nan,nan,0.0,nan,187,64.57757902145386,nan,419,23936,nan,23936
nan,nan,0.0,nan,188,64.88425922393799,nan,395,24064,nan,24064
nan,nan,0.0,nan,189,65.209468126297,nan,436,24192,nan,24192
nan,nan,0.0,nan,190,65.50430226325989,nan,435,24320,nan,24320
nan,nan,0.0,nan,191,65.79917597770691,nan,417,24448,nan,24448
nan,nan,0.0,nan,192,66.10666012763977,nan,430,24576,nan,24576
nan,nan,0.0,nan,193,66.40466523170471,nan,451,24704,nan,24704
nan,nan,0.0,nan,194,66.68934917449951,nan,461,24832,nan,24832
nan,nan,0.0,nan,195,66.96737909317017,nan,406,24960,nan,24960
nan,nan,0.0,nan,196,67.28388214111328,nan,399,25088,nan,25088
nan,nan,0.0,nan,197,67.60519027709961,nan,414,25216,nan,25216
nan,nan,0.0,nan,198,67.91477990150452,nan,442,25344,nan,25344
nan,nan,0.0,nan,199,68.20544910430908,nan,453,25472,nan,25472
nan,nan,0.0,nan,200,68.48869609832764,nan,438,25600,nan,25600
nan,nan,0.0,nan,201,68.78206610679626,nan,434,25728,nan,25728
nan,nan,0.0,nan,202,69.07767295837402,nan,437,25856,nan,25856
nan,nan,0.0,nan,203,69.37094521522522,nan,337,25984,nan,25984
nan,nan,0.0,nan,204,69.75151109695435,nan,255,26112,nan,26112
nan,nan,0.0,nan,205,70.2544572353363,nan,370,26240,nan,26240
nan,nan,0.0,nan,206,70.60126423835754,nan,335,26368,nan,26368
nan,nan,0.0,nan,207,70.98401689529419,nan,226,26496,nan,26496
nan,nan,0.0,nan,208,71.55468702316284,nan,249,26624,nan,26624
nan,nan,0.0,nan,209,72.07009792327881,nan,248,26752,nan,26752
nan,nan,0.0,nan,210,72.58636808395386,nan,238,26880,nan,26880
nan,nan,0.0,nan,211,73.12448120117188,nan,285,27008,nan,27008
nan,nan,0.0,nan,212,73.57481122016907,nan,346,27136,nan,27136
nan,nan,0.0,nan,213,73.94600033760071,nan,342,27264,nan,27264
nan,nan,0.0,nan,214,74.32124328613281,nan,353,27392,nan,27392
nan,nan,0.0,nan,215,74.68550610542297,nan,339,27520,nan,27520
nan,nan,0.0,nan,216,75.06389927864075,nan,309,27648,nan,27648
nan,nan,0.0,nan,217,75.47921013832092,nan,337,27776,nan,27776
nan,nan,0.0,nan,218,75.86000323295593,nan,305,27904,nan,27904
nan,nan,0.0,nan,219,76.28000521659851,nan,348,28032,nan,28032
nan,nan,0.0,nan,220,76.64891719818115,nan,329,28160,nan,28160
nan,nan,0.0,nan,221,77.0385012626648,nan,298,28288,nan,28288
nan,nan,0.0,nan,222,77.47138524055481,nan,282,28416,nan,28416
nan,nan,0.0,nan,223,77.92712807655334,nan,206,28544,nan,28544
nan,nan,0.0,nan,224,78.54988026618958,nan,61,28672,nan,28672
nan,nan,0.0,nan,225,80.6258602142334,nan,122,28800,nan,28800
nan,nan,0.0,nan,226,81.66971802711487,nan,183,28928,nan,28928
nan,nan,0.0,nan,227,82.37109112739563,nan,160,29056,nan,29056
nan,nan,0.0,nan,228,83.17113614082336,nan,87,29184,nan,29184
nan,nan,0.0,nan,229,84.63825798034668,nan,95,29312,nan,29312
nan,nan,0.0,nan,230,85.97996711730957,nan,175,29440,nan,29440
nan,nan,0.0,nan,231,86.71441531181335,nan,160,29568,nan,29568
nan,nan,0.0,nan,232,87.51314306259155,nan,232,29696,nan,29696
nan,nan,0.0,nan,233,88.06425714492798,nan,234,29824,nan,29824
nan,nan,0.0,nan,234,88.6114661693573,nan,212,29952,nan,29952
nan,nan,0.0,nan,235,89.21618103981018,nan,305,30080,nan,30080
nan,nan,0.0,nan,236,89.6372001171112,nan,323,30208,nan,30208
nan,nan,0.0,nan,237,90.03550314903259,nan,242,30336,nan,30336
nan,nan,0.0,nan,238,90.56454825401306,nan,331,30464,nan,30464
nan,nan,0.0,nan,239,90.9519271850586,nan,316,30592,nan,30592
nan,nan,0.0,nan,240,91.35826802253723,nan,328,30720,nan,30720
nan,nan,0.0,nan,241,91.74928903579712,nan,320,30848,nan,30848
nan,nan,0.0,nan,242,92.15019297599792,nan,273,30976,nan,30976
nan,nan,0.0,nan,243,92.6201491355896,nan,288,31104,nan,31104
nan,nan,0.0,nan,244,93.06478714942932,nan,279,31232,nan,31232
nan,nan,0.0,nan,245,93.52446126937866,nan,132,31360,nan,31360
nan,nan,0.0,nan,246,94.49746513366699,nan,192,31488,nan,31488
nan,nan,0.0,nan,247,95.16578006744385,nan,117,31616,nan,31616
nan,nan,0.0,nan,248,96.25642919540405,nan,147,31744,nan,31744
nan,nan,0.0,nan,249,97.12753915786743,nan,143,31872,nan,31872
nan,nan,0.0,nan,250,98.02055025100708,nan,186,32000,nan,32000
nan,nan,0.0,nan,251,98.70780491828918,nan,157,32128,nan,32128
nan,nan,0.0,nan,252,99.52356719970703,nan,249,32256,nan,32256
nan,nan,0.0,nan,253,100.03873324394226,nan,283,32384,nan,32384
nan,nan,0.0,nan,254,100.49432301521301,nan,328,32512,nan,32512
nan,nan,0.0,nan,255,100.88512420654297,nan,349,32640,nan,32640
nan,nan,0.0,nan,256,101.25428009033203,nan,336,32768,nan,32768
nan,nan,0.0,nan,257,101.63574314117432,nan,318,32896,nan,32896
nan,nan,0.0,nan,258,102.03891897201538,nan,342,33024,nan,33024
nan,nan,0.0,nan,259,102.41490912437439,nan,359,33152,nan,33152
nan,nan,0.0,nan,260,102.7718710899353,nan,410,33280,nan,33280
nan,nan,0.0,nan,261,103.08483099937439,nan,424,33408,nan,33408
nan,nan,0.0,nan,262,103.38762021064758,nan,417,33536,nan,33536
nan,nan,0.0,nan,263,103.69601511955261,nan,425,33664,nan,33664
nan,nan,0.0,nan,264,103.99801921844482,nan,438,33792,nan,33792
nan,nan,0.0,nan,265,104.2915153503418,nan,456,33920,nan,33920
nan,nan,0.0,nan,266,104.57336807250977,nan,455,34048,nan,34048
nan,nan,0.0,nan,267,104.85577917098999,nan,439,34176,nan,34176
nan,nan,0.0,nan,268,105.14806723594666,nan,438,34304,nan,34304
nan,nan,0.0,nan,269,105.44099712371826,nan,466,34432,nan,34432
nan,nan,0.0,nan,270,105.71646308898926,nan,472,34560,nan,34560
nan,nan,0.0,nan,271,105.9881751537323,nan,468,34688,nan,34688
nan,nan,0.0,nan,272,106.26229929924011,nan,459,34816,nan,34816
nan,nan,0.0,nan,273,106.5417160987854,nan,463,34944,nan,34944
nan,nan,0.0,nan,274,106.81905102729797,nan,476,35072,nan,35072
nan,nan,0.0,nan,275,107.08870315551758,nan,427,35200,nan,35200
